00000016 | 4,11,9 | 2016-12-31 | 1
00000016 | 1,8,10 | 2017-01-02 | 2
00000016 | 7,13,9 | 2017-01-26 | 5
00000016 | 1,4,12 | 2017-02-05 | 6
00000016 | 12,7,15 | 2017-02-24 | 9
00000016 | 4,13,9 | 2017-03-01 | 10
00000016 | 7,1,12 | 2017-03-11 | 11
00000016 | 7,6,14 | 2017-03-15 | 12
00000016 | 8,9,3 | 2017-03-31 | 14
00000016 | 4,1,12 | 2017-04-16 | 16
00000016 | 13,3,10 | 2017-04-25 | 18
00000016 | 10,7,4 | 2017-05-14 | 20
00000002 | 1,14,12 | 2017-01-14 | 3
00000002 | 15,13,5 | 2017-02-01 | 6
00000002 | 14,4,1 | 2017-02-12 | 7
00000002 | 3,13,10 | 2017-02-13 | 8
00000002 | 12,15,4 | 2017-03-05 | 10
00000002 | 10,13,6 | 2017-03-12 | 11
00000002 | 13,15,11 | 2017-03-24 | 13
00000002 | 4,12,14 | 2017-04-02 | 14
00000002 | 1,15,8 | 2017-04-06 | 15
00000002 | 3,2,10 | 2017-04-10 | 16
00000002 | 15,13,5 | 2017-04-24 | 18
00000002 | 14,15,7 | 2017-05-10 | 20
00000010 | 10,15,7 | 2017-01-14 | 3
00000010 | 2,3,6 | 2017-01-24 | 5
00000010 | 2,3,5 | 2017-03-04 | 10
00000010 | 6,11,13 | 2017-03-22 | 13
00000010 | 1,4,14 | 2017-03-30 | 14
00000010 | 9,15,5 | 2017-04-03 | 15
00000010 | 9,1,11 | 2017-05-01 | 19
00000010 | 3,2,14 | 2017-05-08 | 20
00000019 | 4,14,11 | 2017-01-02 | 2
00000019 | 14,10,7 | 2017-01-14 | 3
00000019 | 15,14,9 | 2017-02-08 | 7
00000019 | 12,5,14 | 2017-02-15 | 8
00000019 | 4,10,7 | 2017-02-20 | 9
00000019 | 10,4,12 | 2017-03-16 | 12
00000019 | 6,3,2 | 2017-04-02 | 14
00000019 | 7,15,9 | 2017-04-09 | 15
00000019 | 4,5,8 | 2017-04-14 | 16
00000019 | 12,2,1 | 2017-04-21 | 17
00000008 | 4,12,1 | 2016-12-29 | 1
00000008 | 11,7,15 | 2017-01-06 | 2
00000008 | 1,7,2 | 2017-01-28 | 5
00000008 | 11,9,3 | 2017-02-10 | 7
00000008 | 8,9,2 | 2017-02-18 | 8
00000008 | 6,12,10 | 2017-03-05 | 10
00000008 | 10,2,11 | 2017-03-10 | 11
00000008 | 12,3,15 | 2017-03-24 | 13
00000008 | 7,5,1 | 2017-03-27 | 14
00000008 | 5,2,11 | 2017-04-29 | 18
00000008 | 11,7,6 | 2017-05-03 | 19
00000008 | 7,10,12 | 2017-05-11 | 20
00000004 | 6,14,7 | 2017-01-11 | 3
00000004 | 13,2,10 | 2017-02-06 | 7
00000004 | 13,10,3 | 2017-03-11 | 11
00000004 | 3,4,8 | 2017-03-22 | 13
00000004 | 10,2,7 | 2017-04-03 | 15
00000004 | 4,12,14 | 2017-04-14 | 16
00000004 | 13,8,2 | 2017-04-23 | 17
00000004 | 14,2,10 | 2017-04-25 | 18
